file,raw_response,store_name,store_address,telephone,date,time,subtotal,tax,tips,total,item_name,item_qty,item_price
image_files/Image_1/0/01e19e8b2d86190ca474aaaa8f19d44ebaf469be.jpeg,"```json
{
  ""store_name"": ""CVS/pharmacy"",
  ""store_address"": ""15038 Nacogdoches Rd, San Antonio, TX 78233"",
  ""telephone"": ""210.646.7045"",
  ""date"": ""NOT_FOUND"",
  ""time"": ""NOT_FOUND"",
  ""items"": [
    {
      ""name"": ""FG SPIDERMAN SG"",
      ""quantity"": ""1"",
      ""price"": ""8.99""
    }
  ],
  ""subtotal"": ""8.99"",
  ""tax"": ""0.74"",
  ""tips"": ""NOT_FOUND"",
  ""total"": ""9.73""
}
```",CVS/pharmacy,"15038 Nacogdoches Rd, San Antonio, TX 78233",210.646.7045,NOT_FOUND,NOT_FOUND,8.99,0.74,NOT_FOUND,9.73,FG SPIDERMAN SG,1,8.99
image_files/Image_1/0/242c854b37808700f53d8a6b787f6748c59c17fe.jpeg,"```json
{
  ""store_name"": ""WENDY'S REG 3"",
  ""store_address"": ""731 EASTERN AVENUE, TORONTO, ON"",
  ""telephone"": ""(416) 465-9904"",
  ""date"": ""2014-07-22"",
  ""time"": ""02:20:30 PM"",
  ""items"": [
    {""name"": ""DOUBLE COMBO"", ""quantity"": ""1"", ""price"": ""7.69""},
    {""name"": ""ROOT BEER NO ICE"", ""quantity"": ""1"", ""price"": ""1.09""},
    {""name"": ""LARGE COMBO BACDLX SGL-CMB NO ADD REG CHZ ORANGE"", ""quantity"": ""1"", ""price"": ""7.79""},
    {""name"": ""MEDIUM COMBO"", ""quantity"": ""1"", ""price"": ""0.69""},
    {""name"": ""HST"", ""quantity"": ""1"", ""price"": ""2.24""}
  ],
  ""subtotal"": ""19.50"",
  ""tax"": ""2.24"",
  ""tips"": ""NOT_FOUND"",
  ""total"": ""20.00""
}
```",WENDY'S REG 3,"731 EASTERN AVENUE, TORONTO, ON",(416) 465-9904,2014-07-22,02:20:30 PM,19.50,2.24,NOT_FOUND,20.00,DOUBLE COMBO,1,7.69
image_files/Image_1/0/242c854b37808700f53d8a6b787f6748c59c17fe.jpeg,"```json
{
  ""store_name"": ""WENDY'S REG 3"",
  ""store_address"": ""731 EASTERN AVENUE, TORONTO, ON"",
  ""telephone"": ""(416) 465-9904"",
  ""date"": ""2014-07-22"",
  ""time"": ""02:20:30 PM"",
  ""items"": [
    {""name"": ""DOUBLE COMBO"", ""quantity"": ""1"", ""price"": ""7.69""},
    {""name"": ""ROOT BEER NO ICE"", ""quantity"": ""1"", ""price"": ""1.09""},
    {""name"": ""LARGE COMBO BACDLX SGL-CMB NO ADD REG CHZ ORANGE"", ""quantity"": ""1"", ""price"": ""7.79""},
    {""name"": ""MEDIUM COMBO"", ""quantity"": ""1"", ""price"": ""0.69""},
    {""name"": ""HST"", ""quantity"": ""1"", ""price"": ""2.24""}
  ],
  ""subtotal"": ""19.50"",
  ""tax"": ""2.24"",
  ""tips"": ""NOT_FOUND"",
  ""total"": ""20.00""
}
```",WENDY'S REG 3,"731 EASTERN AVENUE, TORONTO, ON",(416) 465-9904,2014-07-22,02:20:30 PM,19.50,2.24,NOT_FOUND,20.00,ROOT BEER NO ICE,1,1.09
image_files/Image_1/0/242c854b37808700f53d8a6b787f6748c59c17fe.jpeg,"```json
{
  ""store_name"": ""WENDY'S REG 3"",
  ""store_address"": ""731 EASTERN AVENUE, TORONTO, ON"",
  ""telephone"": ""(416) 465-9904"",
  ""date"": ""2014-07-22"",
  ""time"": ""02:20:30 PM"",
  ""items"": [
    {""name"": ""DOUBLE COMBO"", ""quantity"": ""1"", ""price"": ""7.69""},
    {""name"": ""ROOT BEER NO ICE"", ""quantity"": ""1"", ""price"": ""1.09""},
    {""name"": ""LARGE COMBO BACDLX SGL-CMB NO ADD REG CHZ ORANGE"", ""quantity"": ""1"", ""price"": ""7.79""},
    {""name"": ""MEDIUM COMBO"", ""quantity"": ""1"", ""price"": ""0.69""},
    {""name"": ""HST"", ""quantity"": ""1"", ""price"": ""2.24""}
  ],
  ""subtotal"": ""19.50"",
  ""tax"": ""2.24"",
  ""tips"": ""NOT_FOUND"",
  ""total"": ""20.00""
}
```",WENDY'S REG 3,"731 EASTERN AVENUE, TORONTO, ON",(416) 465-9904,2014-07-22,02:20:30 PM,19.50,2.24,NOT_FOUND,20.00,LARGE COMBO BACDLX SGL-CMB NO ADD REG CHZ ORANGE,1,7.79
image_files/Image_1/0/242c854b37808700f53d8a6b787f6748c59c17fe.jpeg,"```json
{
  ""store_name"": ""WENDY'S REG 3"",
  ""store_address"": ""731 EASTERN AVENUE, TORONTO, ON"",
  ""telephone"": ""(416) 465-9904"",
  ""date"": ""2014-07-22"",
  ""time"": ""02:20:30 PM"",
  ""items"": [
    {""name"": ""DOUBLE COMBO"", ""quantity"": ""1"", ""price"": ""7.69""},
    {""name"": ""ROOT BEER NO ICE"", ""quantity"": ""1"", ""price"": ""1.09""},
    {""name"": ""LARGE COMBO BACDLX SGL-CMB NO ADD REG CHZ ORANGE"", ""quantity"": ""1"", ""price"": ""7.79""},
    {""name"": ""MEDIUM COMBO"", ""quantity"": ""1"", ""price"": ""0.69""},
    {""name"": ""HST"", ""quantity"": ""1"", ""price"": ""2.24""}
  ],
  ""subtotal"": ""19.50"",
  ""tax"": ""2.24"",
  ""tips"": ""NOT_FOUND"",
  ""total"": ""20.00""
}
```",WENDY'S REG 3,"731 EASTERN AVENUE, TORONTO, ON",(416) 465-9904,2014-07-22,02:20:30 PM,19.50,2.24,NOT_FOUND,20.00,MEDIUM COMBO,1,0.69
image_files/Image_1/0/242c854b37808700f53d8a6b787f6748c59c17fe.jpeg,"```json
{
  ""store_name"": ""WENDY'S REG 3"",
  ""store_address"": ""731 EASTERN AVENUE, TORONTO, ON"",
  ""telephone"": ""(416) 465-9904"",
  ""date"": ""2014-07-22"",
  ""time"": ""02:20:30 PM"",
  ""items"": [
    {""name"": ""DOUBLE COMBO"", ""quantity"": ""1"", ""price"": ""7.69""},
    {""name"": ""ROOT BEER NO ICE"", ""quantity"": ""1"", ""price"": ""1.09""},
    {""name"": ""LARGE COMBO BACDLX SGL-CMB NO ADD REG CHZ ORANGE"", ""quantity"": ""1"", ""price"": ""7.79""},
    {""name"": ""MEDIUM COMBO"", ""quantity"": ""1"", ""price"": ""0.69""},
    {""name"": ""HST"", ""quantity"": ""1"", ""price"": ""2.24""}
  ],
  ""subtotal"": ""19.50"",
  ""tax"": ""2.24"",
  ""tips"": ""NOT_FOUND"",
  ""total"": ""20.00""
}
```",WENDY'S REG 3,"731 EASTERN AVENUE, TORONTO, ON",(416) 465-9904,2014-07-22,02:20:30 PM,19.50,2.24,NOT_FOUND,20.00,HST,1,2.24
image_files/Image_1/0/2944.jpeg,"```json
{
  ""store_name"": ""prive Grill"",
  ""store_address"": ""Marina at Keppel Bay 2 Keppel Bay Vista SINGAPORE 069032"",
  ""telephone"": ""6776 0777"",
  ""date"": ""14/09/2012"",
  ""time"": ""20:20"",
  ""items"": [
    {""name"": ""FIJI M WATER, 1000ML"", ""quantity"": ""2"", ""price"": ""20.00""},
    {""name"": ""HARMONY RIBEE"", ""quantity"": ""1"", ""price"": ""58.00""},
    {""name"": ""ROSEMARY SAUCE"", ""quantity"": ""1"", ""price"": ""3.00""},
    {""name"": ""JOSPER SEABASS"", ""quantity"": ""1"", ""price"": ""42.00""},
    {""name"": ""GRILLED ASPARAGUS"", ""quantity"": ""1"", ""price"": ""8.00""},
    {""name"": ""TWICE BAKED POTATOES"", ""quantity"": ""1"", ""price"": ""8.00""},
    {""name"": ""CAESAR SALAD"", ""quantity"": ""1"", ""price"": ""15.00""},
    {""name"": ""JAMON IBERICO"", ""quantity"": ""1"", ""price"": ""32.00""},
    {""name"": ""RN405 BAROLO GDV '07"", ""quantity"": ""1"", ""price"": ""145.00""}
  ],
  ""subtotal"": ""331.00"",
  ""tax"": ""33.10"",
  ""tips"": ""NOT_FOUND"",
  ""total"": ""364.49""
}
```",prive Grill,Marina at Keppel Bay 2 Keppel Bay Vista SINGAPORE 069032,6776 0777,14/09/2012,20:20,331.00,33.10,NOT_FOUND,364.49,"FIJI M WATER, 1000ML",2,20.00
image_files/Image_1/0/2944.jpeg,"```json
{
  ""store_name"": ""prive Grill"",
  ""store_address"": ""Marina at Keppel Bay 2 Keppel Bay Vista SINGAPORE 069032"",
  ""telephone"": ""6776 0777"",
  ""date"": ""14/09/2012"",
  ""time"": ""20:20"",
  ""items"": [
    {""name"": ""FIJI M WATER, 1000ML"", ""quantity"": ""2"", ""price"": ""20.00""},
    {""name"": ""HARMONY RIBEE"", ""quantity"": ""1"", ""price"": ""58.00""},
    {""name"": ""ROSEMARY SAUCE"", ""quantity"": ""1"", ""price"": ""3.00""},
    {""name"": ""JOSPER SEABASS"", ""quantity"": ""1"", ""price"": ""42.00""},
    {""name"": ""GRILLED ASPARAGUS"", ""quantity"": ""1"", ""price"": ""8.00""},
    {""name"": ""TWICE BAKED POTATOES"", ""quantity"": ""1"", ""price"": ""8.00""},
    {""name"": ""CAESAR SALAD"", ""quantity"": ""1"", ""price"": ""15.00""},
    {""name"": ""JAMON IBERICO"", ""quantity"": ""1"", ""price"": ""32.00""},
    {""name"": ""RN405 BAROLO GDV '07"", ""quantity"": ""1"", ""price"": ""145.00""}
  ],
  ""subtotal"": ""331.00"",
  ""tax"": ""33.10"",
  ""tips"": ""NOT_FOUND"",
  ""total"": ""364.49""
}
```",prive Grill,Marina at Keppel Bay 2 Keppel Bay Vista SINGAPORE 069032,6776 0777,14/09/2012,20:20,331.00,33.10,NOT_FOUND,364.49,HARMONY RIBEE,1,58.00
image_files/Image_1/0/2944.jpeg,"```json
{
  ""store_name"": ""prive Grill"",
  ""store_address"": ""Marina at Keppel Bay 2 Keppel Bay Vista SINGAPORE 069032"",
  ""telephone"": ""6776 0777"",
  ""date"": ""14/09/2012"",
  ""time"": ""20:20"",
  ""items"": [
    {""name"": ""FIJI M WATER, 1000ML"", ""quantity"": ""2"", ""price"": ""20.00""},
    {""name"": ""HARMONY RIBEE"", ""quantity"": ""1"", ""price"": ""58.00""},
    {""name"": ""ROSEMARY SAUCE"", ""quantity"": ""1"", ""price"": ""3.00""},
    {""name"": ""JOSPER SEABASS"", ""quantity"": ""1"", ""price"": ""42.00""},
    {""name"": ""GRILLED ASPARAGUS"", ""quantity"": ""1"", ""price"": ""8.00""},
    {""name"": ""TWICE BAKED POTATOES"", ""quantity"": ""1"", ""price"": ""8.00""},
    {""name"": ""CAESAR SALAD"", ""quantity"": ""1"", ""price"": ""15.00""},
    {""name"": ""JAMON IBERICO"", ""quantity"": ""1"", ""price"": ""32.00""},
    {""name"": ""RN405 BAROLO GDV '07"", ""quantity"": ""1"", ""price"": ""145.00""}
  ],
  ""subtotal"": ""331.00"",
  ""tax"": ""33.10"",
  ""tips"": ""NOT_FOUND"",
  ""total"": ""364.49""
}
```",prive Grill,Marina at Keppel Bay 2 Keppel Bay Vista SINGAPORE 069032,6776 0777,14/09/2012,20:20,331.00,33.10,NOT_FOUND,364.49,ROSEMARY SAUCE,1,3.00
image_files/Image_1/0/2944.jpeg,"```json
{
  ""store_name"": ""prive Grill"",
  ""store_address"": ""Marina at Keppel Bay 2 Keppel Bay Vista SINGAPORE 069032"",
  ""telephone"": ""6776 0777"",
  ""date"": ""14/09/2012"",
  ""time"": ""20:20"",
  ""items"": [
    {""name"": ""FIJI M WATER, 1000ML"", ""quantity"": ""2"", ""price"": ""20.00""},
    {""name"": ""HARMONY RIBEE"", ""quantity"": ""1"", ""price"": ""58.00""},
    {""name"": ""ROSEMARY SAUCE"", ""quantity"": ""1"", ""price"": ""3.00""},
    {""name"": ""JOSPER SEABASS"", ""quantity"": ""1"", ""price"": ""42.00""},
    {""name"": ""GRILLED ASPARAGUS"", ""quantity"": ""1"", ""price"": ""8.00""},
    {""name"": ""TWICE BAKED POTATOES"", ""quantity"": ""1"", ""price"": ""8.00""},
    {""name"": ""CAESAR SALAD"", ""quantity"": ""1"", ""price"": ""15.00""},
    {""name"": ""JAMON IBERICO"", ""quantity"": ""1"", ""price"": ""32.00""},
    {""name"": ""RN405 BAROLO GDV '07"", ""quantity"": ""1"", ""price"": ""145.00""}
  ],
  ""subtotal"": ""331.00"",
  ""tax"": ""33.10"",
  ""tips"": ""NOT_FOUND"",
  ""total"": ""364.49""
}
```",prive Grill,Marina at Keppel Bay 2 Keppel Bay Vista SINGAPORE 069032,6776 0777,14/09/2012,20:20,331.00,33.10,NOT_FOUND,364.49,JOSPER SEABASS,1,42.00
