image_name,document_type,overall_accuracy,fields_extracted,fields_matched,total_fields,processing_time,prompt_used,inference_only
cba_amount_balance.png,RECEIPT,85.71428571428571,0,12,14,1.9451217651367188,receipt,False
cba_date_grouped.png,RECEIPT,71.42857142857143,0,10,14,0.022985219955444336,receipt,False
cba_date_grouped_cont.png,RECEIPT,71.42857142857143,0,10,14,0.020907878875732422,receipt,False
cba_debit_credit.png,RECEIPT,85.71428571428571,0,12,14,0.019831180572509766,receipt,False
cba_highligted.png,RECEIPT,78.57142857142857,0,11,14,0.019846677780151367,receipt,False
cba_home_loan.png,RECEIPT,78.57142857142857,0,11,14,0.0199429988861084,receipt,False
image_003.png,RECEIPT,71.42857142857143,0,10,14,0.020725250244140625,receipt,False
image_009.png,RECEIPT,71.42857142857143,0,10,14,0.020617008209228516,receipt,False
low_contrast.png,RECEIPT,85.71428571428571,0,12,14,0.021019697189331055,receipt,False
nab_classic_highligted.png,RECEIPT,71.42857142857143,0,10,14,0.020822525024414062,receipt,False
synthetic_chrono.png,RECEIPT,71.42857142857143,0,10,14,0.020621538162231445,receipt,False
synthetic_multiline.png,RECEIPT,71.42857142857143,0,10,14,0.02065873146057129,receipt,False
synthetic_reverse_chrono.png,RECEIPT,71.42857142857143,0,10,14,0.020569324493408203,receipt,False
transaction_summary.png,RECEIPT,85.71428571428571,0,12,14,0.020586490631103516,receipt,False
westpac_debit_credit.png,RECEIPT,78.57142857142857,0,11,14,0.020656824111938477,receipt,False
