image_file,image_name,document_type,processing_time,field_count,found_fields,field_coverage,prompt_used,timestamp,overall_accuracy,fields_extracted,fields_matched,total_fields,inference_only,gpu_type,precision,flash_attention,DOCUMENT_TYPE,BUSINESS_ABN,SUPPLIER_NAME,BUSINESS_ADDRESS,PAYER_NAME,PAYER_ADDRESS,INVOICE_DATE,LINE_ITEM_DESCRIPTIONS,LINE_ITEM_QUANTITIES,LINE_ITEM_PRICES,LINE_ITEM_TOTAL_PRICES,IS_GST_INCLUDED,GST_AMOUNT,TOTAL_AMOUNT
cba_amount_balance.png,cba_amount_balance.png,bank_statement,17.650996208190918,5,5,14.285714285714285,internvl3_8b_h200_bank_statement,2025-11-25T05:07:44.412336,67.08938120702828,5,1,5,False,H200,bfloat16,True,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,GROCERY MARKET SUBURB NSW AUS | DEPARTMENT STORE SHOPPING DIST NS AUS | CAFE CENTRAL T 54331F SUBURB AUS | CAFE CENTRAL T 54331F SUBURB AUS | ONLINE RETAILER.COM SYDNEY AU AUS | SERVICE STATION SUBURB NS AUS | SERVICE STATION SUBURB NS AUS | ONLINE SUBSCRIPTION SYDNEY AU AUS | ONLINE SUBSCRIPTION SYDNEY AU AUS | ELECTRONICS 9876 SUBURB NSW AUS | PHARMACY SERVICES MELBOURNE AUS | BOOKSTORE 2345 SYDNEY AUS,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
cba_date_grouped.png,cba_date_grouped.png,bank_statement,10.741746187210083,5,5,14.285714285714285,internvl3_8b_h200_bank_statement,2025-11-25T05:07:44.412376,52.61111111111111,5,1,5,False,H200,bfloat16,True,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Telstra Mobile Services Sydney Aus | Woolworths 28477 Melbourne Vic Aus | Shell Service Station Richmond Vic | Netflix Subscription | Cafe Latte Fitzroy Vic Aus | Parking Meters Melbourne Vic | Rent Payment Real Estate | Chemist Warehouse Melbourne Vic,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
cba_date_grouped_cont.png,cba_date_grouped_cont.png,bank_statement,18.08145809173584,5,5,14.285714285714285,internvl3_8b_h200_bank_statement,2025-11-25T05:07:44.412390,64.80631276901005,5,1,5,False,H200,bfloat16,True,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Restaurant dining | Bookstore Melbourne CBD | Gym membership | Auto services | Transfer from CommBank app petrol | Hardware store Bunnings | Electronics store JB HI-FF | Transfer from CommBank app | Transfer to CommBank app | Transfer to CommBank app | Transfer to CommBank app | Pharmacy Chemist Melbourne | Direct Debit Insurance premium | Transfer from CommBank app | Streaming service Spotify | Pet supplies Petbarn Richmond | Transfer from CommBank app | Transfer from CommBank app | Utilities electricity bill | Transfer from CommBank app | Department store Myerers,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
cba_debit_credit.png,cba_debit_credit.png,bank_statement,27.39821457862854,5,5,14.285714285714285,internvl3_8b_h200_bank_statement,2025-11-25T05:07:44.412401,37.77777777777778,5,1,5,False,H200,bfloat16,True,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,RETAIL STORE SUBURB AU | SUPERMARKET SHOPPING SUBURB AU | SHOPPING SUBURB SUBURB AU | SHOPPING SUBURB SUBURB AU | Store RSL Suburb0 AU | GROCERY STORE SUBURB AU | PETROL STATION SUBURB VICAU | RETAIL STORES SUBURB VICAU | DEPARTMENT STORE PTY LTD SUBURB VIC AU | RETAIL STORES EASTLINK VIC SUBURB AU | RETAIL STORE PTY LTD Suburb VICAU | RETAIL STORE PTY LTD Suburb VICAU | Afterpay afterpay.com AU AUS,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
cba_highligted.png,cba_highligted.png,bank_statement,9.191551446914673,5,5,14.285714285714285,internvl3_8b_h200_bank_statement,2025-11-25T05:07:44.412414,20.0,5,1,5,False,H200,bfloat16,True,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Salary CORPORATION PTY LTD BANK ACCOUNT | Salary OpenMinds 456789 ASP3345678 | Paid by didi | Direct Credit 890432 RIDESHARE BV | Transfer to xx9876 CommBank app,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
cba_home_loan.png,cba_home_loan.png,bank_statement,12.453377962112427,5,5,14.285714285714285,internvl3_8b_h200_bank_statement,2025-11-25T05:07:44.412425,62.90909090909091,5,1,5,False,H200,bfloat16,True,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Repayment/Payment NetBank | Repayment/Payment NetBank | Repayment Redraw NetBank | Interest charged | Repayment/Payment | Reversal of a transaction made | Interest charged,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
image_001.png,image_001.png,receipt,8.1676504611969,14,14,100.0,internvl3_8b_h200_receipt,2025-11-25T05:07:44.412437,92.06349206349206,14,12,14,False,H200,bfloat16,True,RECEIPT,06082698025,Liberty Oil,481 Bourke Street Perth WA 6000,Robert Taylor,243 Adelaide Street Perth WA 6000,05/08/2025,Car Wash | Coffee Large | Unleaded Petrol | Car Wash | Diesel,3 | 1 | 1 | 2 | 3,$15.00 | $4.50 | $1.65 | $15.00 | $1.77,$45.00 | $4.50 | $1.65 | $30.00 | $5.10,Yes,$8.62,$94.87
image_002.png,image_002.png,receipt,8.660462141036987,14,14,100.0,internvl3_8b_h200_receipt,2025-11-25T05:07:44.412450,83.33333333333333,14,11,14,False,H200,bfloat16,True,RECEIPT,29466483258,Ampol Limited,680 Collins Street Darwin NT 0800,Sophie Martin,467 Collins Street Hobart TAS 77000,18/07/2025,Energy Drink | Premium Unleaded | Coffee Large | Premium Unleaded | Car Wash | Premium Unleaded,1 | 1 | 2 | 2 | 2 | 2,$4.20 | $1.77 | $4.50 | $1.77 | $15.00 | $1.77,$4.20 | $1.75 | $9.00 | $3.50 | $30.00 | $3.50,Yes,$5.20,$57.15
image_003.png,image_003.png,bank_statement,9.672348737716675,5,5,14.285714285714285,internvl3_8b_h200_bank_statement,2025-11-25T05:07:44.412462,80.0,5,4,5,False,H200,bfloat16,True,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,ONLINE PURCHASE AMAZON AU | EFTPOS PURCHASE COLES EXP | EFTPOS PURCHASE COLES EXP | ATM WITHDRAWAL ANZ ATM | EFTPOS PURCHASE COLES EXP | ATM WITHDRAWAL ANZ ATM,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
image_004.png,image_004.png,receipt,12.133789300918579,14,14,100.0,internvl3_8b_h200_receipt,2025-11-25T05:07:44.412473,87.85714285714286,14,11,14,False,H200,bfloat16,True,RECEIPT,66658925499,Liberty Oil,993 Pitt Street Darwin NT 0800,William Harris,52 Bourke Street Darwin NT 0800,19/07/2025,Premium Unleaded | Diesel | Unleaded Petrol,1 | 2 | 3,$1.775 | $1.770 | $1.65,$1.775 | $3.40 | $4.95,Yes,$1.01,$11.11
