image_name,document_type,overall_accuracy,fields_extracted,fields_matched,total_fields,processing_time,prompt_used
anz_statement_001.png,BANK_STATEMENT,14.285714285714285,0,0,7,69.5810968875885,Flat Bank Statement Extraction
commbank_flat_complex.png,BANK_STATEMENT,38.21428571428571,0,0,7,185.79274225234985,Flat Bank Statement Extraction
commbank_flat_complex_debit_credit.png,BANK_STATEMENT,0.0,0,0,0,186.86590123176575,Flat Bank Statement Extraction
commbank_flat_simple.png,BANK_STATEMENT,80.0,0,0,5,46.2212119102478,Flat Bank Statement Extraction
commbank_statement_001.png,BANK_STATEMENT,14.285714285714285,0,0,7,78.84891176223755,Flat Bank Statement Extraction
image_001.png,RECEIPT,71.42857142857143,0,0,14,26.739562034606934,Standard Receipt Extraction
image_002.png,RECEIPT,71.42857142857143,0,0,14,28.642139196395874,Standard Receipt Extraction
image_004.png,RECEIPT,71.42857142857143,0,0,14,23.122457265853882,Standard Receipt Extraction
image_005.png,INVOICE,85.71428571428571,0,0,14,27.66334581375122,Standard Invoice Extraction
image_006.png,INVOICE,0.0,0,0,14,34.31359505653381,Standard Invoice Extraction
image_007.png,INVOICE,64.28571428571429,0,0,14,27.894833087921143,Standard Invoice Extraction
nab_statement_001.png,BANK_STATEMENT,14.285714285714285,0,0,7,76.86459827423096,Flat Bank Statement Extraction
westpac_statement_001.png,BANK_STATEMENT,14.285714285714285,0,0,7,68.92697739601135,Flat Bank Statement Extraction
