image_file,image_name,document_type,processing_time,field_count,found_fields,field_coverage,prompt_used,timestamp,overall_accuracy,fields_extracted,fields_matched,total_fields,inference_only,quantization_used,DOCUMENT_TYPE,BUSINESS_ABN,SUPPLIER_NAME,BUSINESS_ADDRESS,PAYER_NAME,PAYER_ADDRESS,INVOICE_DATE,LINE_ITEM_DESCRIPTIONS,LINE_ITEM_QUANTITIES,LINE_ITEM_PRICES,LINE_ITEM_TOTAL_PRICES,IS_GST_INCLUDED,GST_AMOUNT,TOTAL_AMOUNT,STATEMENT_DATE_RANGE,TRANSACTION_DATES,TRANSACTION_AMOUNTS_PAID,TRANSACTION_AMOUNTS_RECEIVED,ACCOUNT_BALANCE
cba_amount_balance.png,cba_amount_balance.png,invoice,3.098808526992798,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021159,85.71428571428571,0,12,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
cba_date_grouped.png,cba_date_grouped.png,invoice,3.04530930519104,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021187,71.42857142857143,0,10,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
cba_date_grouped_cont.png,cba_date_grouped_cont.png,invoice,1.8880319595336914,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021210,71.42857142857143,0,10,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
cba_debit_credit.png,cba_debit_credit.png,invoice,1.7871553897857666,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021222,85.71428571428571,0,12,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
cba_highligted.png,cba_highligted.png,invoice,3.291985034942627,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021233,78.57142857142857,0,11,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
cba_home_loan.png,cba_home_loan.png,invoice,3.2981650829315186,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021244,78.57142857142857,0,11,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
image_001.png,image_001.png,invoice,1.770967960357666,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021255,0.0,0,0,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
image_002.png,image_002.png,invoice,1.8346896171569824,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021268,0.0,0,0,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
image_003.png,image_003.png,invoice,2.36918044090271,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021278,71.42857142857143,0,10,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
image_004.png,image_004.png,invoice,2.0240957736968994,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021288,0.0,0,0,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
image_005.png,image_005.png,invoice,2.29473876953125,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021298,0.0,0,0,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
image_006.png,image_006.png,invoice,3.2539546489715576,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021308,0.0,0,0,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
image_007.png,image_007.png,invoice,2.2451014518737793,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021317,0.0,0,0,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
image_008.png,image_008.png,invoice,1.8496546745300293,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021327,71.42857142857143,0,10,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
image_009.png,image_009.png,invoice,1.8606176376342773,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021336,71.42857142857143,0,10,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
low_contrast.png,low_contrast.png,invoice,2.3105320930480957,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021345,85.71428571428571,0,12,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
nab_classic_highligted.png,nab_classic_highligted.png,invoice,2.9848527908325195,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021354,71.42857142857143,0,10,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
transaction_summary.png,transaction_summary.png,invoice,3.0085697174072266,14,0,0.0,internvl3_non_quantized_invoice,2025-11-25T22:01:05.021363,85.71428571428571,0,12,14,False,False,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
