image_file,image_name,document_type,processing_time,field_count,found_fields,field_coverage,prompt_used,timestamp,overall_accuracy,fields_extracted,fields_matched,total_fields,inference_only,model_version,gpu_type,precision,DOCUMENT_TYPE,BUSINESS_ABN,SUPPLIER_NAME,BUSINESS_ADDRESS,PAYER_NAME,PAYER_ADDRESS,INVOICE_DATE,STATEMENT_DATE_RANGE,LINE_ITEM_DESCRIPTIONS,LINE_ITEM_QUANTITIES,LINE_ITEM_PRICES,LINE_ITEM_TOTAL_PRICES,IS_GST_INCLUDED,GST_AMOUNT,TOTAL_AMOUNT,TRANSACTION_DATES,TRANSACTION_AMOUNTS_PAID
itinerary_001_AS_CBR_CBR_3leg.png,itinerary_001_AS_CBR_CBR_3leg.png,travel_expense,16.565096616744995,8,7,17.647058823529413,internvl3_5_8b_travel_expense,2026-02-01T23:16:00.081877,62.5,7,5,8,False,InternVL3.5-8B,H200,bfloat16,TRAVEL_EXPENSE,NOT_FOUND,Aussie Sky Airlines,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,$384.50,NOT_FOUND,NOT_FOUND
itinerary_002_SX_MEL_MEL_4leg.png,itinerary_002_SX_MEL_MEL_4leg.png,travel_expense,20.56198763847351,8,6,17.647058823529413,internvl3_5_8b_travel_expense,2026-02-01T23:16:00.081905,50.0,6,4,8,False,InternVL3.5-8B,H200,bfloat16,TRAVEL_EXPENSE,NOT_FOUND,SOUTHERN CROSS AIRWAYS,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,$748.11,NOT_FOUND,NOT_FOUND
itinerary_003_SX_BNE_BNE_4leg.png,itinerary_003_SX_BNE_BNE_4leg.png,travel_expense,16.979644298553467,8,7,17.647058823529413,internvl3_5_8b_travel_expense,2026-02-01T23:16:00.081920,62.5,7,5,8,False,InternVL3.5-8B,H200,bfloat16,TRAVEL_EXPENSE,NOT_FOUND,SOUTHERN CROSS AIRWAYS,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,$1228.87,NOT_FOUND,NOT_FOUND
itinerary_004_SX_CBR_PER_4leg.png,itinerary_004_SX_CBR_PER_4leg.png,travel_expense,16.75763702392578,8,7,17.647058823529413,internvl3_5_8b_travel_expense,2026-02-01T23:16:00.081931,75.0,7,6,8,False,InternVL3.5-8B,H200,bfloat16,TRAVEL_EXPENSE,NOT_FOUND,SOUTHERN CROSS AIRWAYS,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,$1109.64,NOT_FOUND,NOT_FOUND
itinerary_005_PW_DRW_DRW_2leg.png,itinerary_005_PW_DRW_DRW_2leg.png,travel_expense,14.029436826705933,8,6,11.76470588235294,internvl3_5_8b_travel_expense,2026-02-01T23:16:00.081942,58.33333333333333,6,4,8,False,InternVL3.5-8B,H200,bfloat16,TRAVEL_EXPENSE,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,$532.51,NOT_FOUND,NOT_FOUND
itinerary_006_PW_ADL_ADL_2leg.png,itinerary_006_PW_ADL_ADL_2leg.png,travel_expense,14.064369916915894,8,6,11.76470588235294,internvl3_5_8b_travel_expense,2026-02-01T23:16:00.081953,45.83333333333333,6,3,8,False,InternVL3.5-8B,H200,bfloat16,TRAVEL_EXPENSE,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,$1803.63,NOT_FOUND,NOT_FOUND
itinerary_007_AS_BNE_BNE_3leg.png,itinerary_007_AS_BNE_BNE_3leg.png,travel_expense,16.450536727905273,8,7,17.647058823529413,internvl3_5_8b_travel_expense,2026-02-01T23:16:00.081963,62.5,7,5,8,False,InternVL3.5-8B,H200,bfloat16,TRAVEL_EXPENSE,NOT_FOUND,Aussie Sky Airlines,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,$1190.09,NOT_FOUND,NOT_FOUND
ticket_001_SX_SYD_HBA.png,ticket_001_SX_SYD_HBA.png,travel_expense,15.485725402832031,8,7,17.647058823529413,internvl3_5_8b_travel_expense,2026-02-01T23:16:00.081973,62.5,7,5,8,False,InternVL3.5-8B,H200,bfloat16,TRAVEL_EXPENSE,NOT_FOUND,Southern Cross Airways,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,$284.76,NOT_FOUND,NOT_FOUND
ticket_002_AS_DRW_PER.png,ticket_002_AS_DRW_PER.png,travel_expense,13.259040594100952,8,6,17.647058823529413,internvl3_5_8b_travel_expense,2026-02-01T23:16:00.081983,62.5,6,5,8,False,InternVL3.5-8B,H200,bfloat16,TRAVEL_EXPENSE,NOT_FOUND,Aussie Sky Airlines,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,$390.42,NOT_FOUND,NOT_FOUND
ticket_003_PW_BNE_PER.png,ticket_003_PW_BNE_PER.png,travel_expense,13.644306421279907,8,6,17.647058823529413,internvl3_5_8b_travel_expense,2026-02-01T23:16:00.081992,62.5,6,5,8,False,InternVL3.5-8B,H200,bfloat16,TRAVEL_EXPENSE,NOT_FOUND,PACIFIC WANDERER,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,$384.46,NOT_FOUND,NOT_FOUND
