image_name,document_type,overall_accuracy,fields_extracted,fields_matched,total_fields,processing_time,prompt_used
anz_statement_001.png,BANK_STATEMENT,14.285714285714285,0,0,7,92.51561045646667,Flat Bank Statement Extraction
commbank_flat_complex.png,BANK_STATEMENT,35.0,0,0,7,232.18821120262146,Flat Bank Statement Extraction
commbank_flat_simple.png,BANK_STATEMENT,80.0,0,0,5,61.29265284538269,Flat Bank Statement Extraction
commbank_statement_001.png,BANK_STATEMENT,14.285714285714285,0,0,7,92.87852668762207,Flat Bank Statement Extraction
image_001.png,RECEIPT,78.57142857142857,0,0,14,34.499414682388306,Standard Receipt Extraction
image_002.png,RECEIPT,62.380952380952394,0,0,14,34.09664344787598,Standard Receipt Extraction
image_004.png,RECEIPT,78.57142857142857,0,0,14,29.64012622833252,Standard Receipt Extraction
image_005.png,INVOICE,92.85714285714286,0,0,14,35.289634466171265,Standard Invoice Extraction
image_006.png,INVOICE,0.0,0,0,14,45.32453203201294,Standard Invoice Extraction
image_007.png,INVOICE,64.28571428571429,0,0,14,35.77212333679199,Standard Invoice Extraction
nab_statement_001.png,BANK_STATEMENT,14.285714285714285,0,0,7,95.08061623573303,Flat Bank Statement Extraction
westpac_statement_001.png,BANK_STATEMENT,14.285714285714285,0,0,7,87.65517616271973,Flat Bank Statement Extraction
